년도,학교명,설립유형,지역명,입학정원,졸업생수,전임교원수,재학생,신입생경쟁률,신입생충원율,취업률,외국인학생수,전임교원1인당학생수,전임교원확보율,전임교원강의담당비율,학생1인당연간장학금,연평균등록금,학생1인당교육비,기숙사수용율,학생1인당도서자료수
2022,가야대학교(고령)-제2캠퍼스,사립,경북,0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0 ,0.00 ,0.00 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2022,가야대학교(김해),사립,경남,460 ,554 ,81 ,1837 ,4.6 ,77.1 ,74.6 ,21 ,29.99 ,86.17 ,73.0 ,3710932.7 ,6809.8 ,11518.9 ,34.3 ,109.7 
2022,가천대학교,사립,경기,4081 ,4437 ,937 ,19370 ,15.4 ,100.0 ,67.4 ,2131 ,19.57 ,87.08 ,63.8 ,3374647.1 ,8263.2 ,14496.4 ,14.9 ,53.3 
2022,가톨릭관동대학교,사립,강원,1824 ,1685 ,410 ,6856 ,3.8 ,79.8 ,60.8 ,49 ,22.28 ,112.95 ,79.2 ,3198333.1 ,7199.7 ,12723.8 ,42.5 ,95.7 
2022,가톨릭꽃동네대학교,사립,충북,108 ,123 ,23 ,401 ,4.8 ,95.4 ,73.7 ,0 ,25.30 ,100.00 ,66.2 ,4926987.5 ,7293.6 ,16921.4 ,45.4 ,134.2 
2022,가톨릭대학교,사립,경기,1574 ,1626 ,269 ,6799 ,12.7 ,99.8 ,60.2 ,499 ,29.76 ,70.42 ,62.5 ,3287368.5 ,6997.6 ,26257.9 ,16.7 ,110.5 
2022,가톨릭대학교-제2캠퍼스,사립,서울,173 ,179 ,931 ,913 ,45.5 ,100.0 ,90.1 ,1 ,2.96 ,479.90 ,83.0 ,2662820.9 ,9263.0 ,0.0 ,7.5 ,0.0 
2022,가톨릭대학교-제3캠퍼스,사립,서울,50 ,39 ,15 ,216 ,1.1 ,98.0 ,0.0 ,6 ,28.53 ,93.75 ,66.2 ,6182877.6 ,6122.0 ,0.0 ,102.0 ,0.0 
2022,감리교신학대학교,사립,서울,200 ,187 ,26 ,635 ,0.7 ,44.2 ,0.0 ,2 ,68.96 ,40.63 ,58.2 ,4445341.1 ,6304.0 ,8491.3 ,26.0 ,163.4 
2022,강남대학교,사립,경기,1491 ,1611 ,238 ,6325 ,7.4 ,99.9 ,60.8 ,79 ,28.88 ,79.33 ,69.7 ,3509047.1 ,7464.5 ,12500.8 ,14.5 ,80.7 
2022,강릉원주대학교-제2캠퍼스,국립,강원,502 ,486 ,93 ,2033 ,5.8 ,99.8 ,58.8 ,4 ,24.47 ,86.92 ,85.3 ,3004494.8 ,4290.2 ,0.0 ,30.0 ,0.0 
2022,강릉원주대학교,국립,강원,1331 ,1222 ,282 ,5128 ,5.3 ,98.0 ,55.9 ,284 ,22.78 ,97.92 ,61.7 ,2894954.6 ,4251.7 ,16515.2 ,39.4 ,95.9 
2022,강서대학교,사립,서울,277 ,318 ,53 ,1560 ,6.1 ,100.0 ,64.1 ,378 ,25.77 ,69.74 ,62.5 ,3353667.1 ,7104.8 ,9296.6 ,7.8 ,64.1 
2022,강원대학교,국립,강원,3093 ,4277 ,800 ,13270 ,7.9 ,99.9 ,62.8 ,363 ,21.18 ,93.24 ,59.6 ,2681116.5 ,4071.7 ,18241.4 ,29.0 ,72.7 
2022,강원대학교-제2캠퍼스,국립,강원,1432 ,1600 ,196 ,5360 ,5.5 ,99.4 ,65.9 ,50 ,32.10 ,72.06 ,57.6 ,3267450.2 ,4248.1 ,0.0 ,47.1 ,0.0 
2022,건국대학교,사립,서울,3000 ,3863 ,627 ,15343 ,18.3 ,99.4 ,69.1 ,2148 ,30.55 ,59.49 ,60.6 ,3254425.2 ,8275.6 ,15532.0 ,19.3 ,66.2 
2022,건국대학교(글로컬),사립,충북,1569 ,1667 ,443 ,6704 ,10.0 ,99.9 ,65.9 ,123 ,16.19 ,118.77 ,64.9 ,3830639.2 ,8007.7 ,17098.1 ,33.2 ,97.5 
2022,건양대학교,사립,충남,777 ,864 ,112 ,2957 ,5.2 ,95.4 ,68.1 ,166 ,29.57 ,86.82 ,59.9 ,3830440.5 ,6402.4 ,15735.0 ,46.3 ,67.2 
2022,건양대학교-제2캠퍼스,사립,대전,846 ,849 ,262 ,3481 ,6.6 ,99.5 ,80.0 ,4 ,16.12 ,108.71 ,79.6 ,3471641.2 ,7230.6 ,0.0 ,34.9 ,0.0 
2022,경기대학교,사립,경기,2598 ,2760 ,510 ,11233 ,10.2 ,99.9 ,61.7 ,988 ,27.79 ,78.22 ,66.6 ,3571006.1 ,7350.3 ,11779.6 ,18.8 ,82.9 
2022,경기대학교-제2캠퍼스,사립,서울,328 ,434 ,36 ,2010 ,18.1 ,100.0 ,69.5 ,662 ,36.44 ,41.86 ,57.5 ,3477801.2 ,7087.3 ,0.0 ,0.0 ,0.0 
2022,경남과학기술대학교,국립,경남,0 ,1154 ,0 ,3294 ,0.0 ,0.0 ,57.3 ,0 ,0.00 ,0.00 ,67.6 ,2606391.5 ,3801.9 ,0.0 ,0.0 ,0.0 
2022,경남대학교,사립,경남,2195 ,2601 ,422 ,10194 ,4.3 ,82.9 ,62.4 ,277 ,30.20 ,80.08 ,77.8 ,3338288.5 ,6533.4 ,12171.6 ,15.5 ,84.9 
2022,경동대학교-제3캠퍼스,사립,강원,989 ,995 ,105 ,3817 ,7.3 ,96.9 ,82.9 ,0 ,36.35 ,55.56 ,77.5 ,3081085.5 ,8280.5 ,0.0 ,26.6 ,0.0 
2022,경동대학교-제2캠퍼스,사립,강원,0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0 ,0.00 ,0.00 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2022,경동대학교,사립,강원,1 ,230 ,29 ,557 ,8.0 ,100.0 ,70.5 ,417 ,10.79 ,126.09 ,90.7 ,4914836.2 ,6571.4 ,8754.2 ,63.6 ,51.3 
2022,경동대학교-제4캠퍼스,사립,경기,654 ,606 ,100 ,2693 ,7.6 ,100.0 ,74.9 ,113 ,27.28 ,81.30 ,80.9 ,3019652.6 ,7610.8 ,0.0 ,18.6 ,0.0 
2022,경북대학교,국립,대구,4629 ,5295 ,1392 ,21028 ,11.3 ,99.6 ,57.9 ,1099 ,20.28 ,93.33 ,61.9 ,2655207.2 ,4499.6 ,20578.2 ,24.0 ,125.2 
2022,경상국립대학교,국립,경남,4266 ,3270 ,1023 ,14185 ,6.6 ,99.6 ,49.2 ,269 ,17.31 ,118.54 ,70.2 ,2636020.8 ,4083.2 ,18219.3 ,28.8 ,77.0 
2022,경성대학교,사립,부산,2765 ,2995 ,429 ,11785 ,6.8 ,99.7 ,56.5 ,891 ,29.11 ,75.00 ,70.4 ,3322074.2 ,6578.4 ,10450.4 ,11.8 ,80.0 
2022,경운대학교,사립,경북,1184 ,1025 ,184 ,4207 ,6.2 ,92.9 ,70.8 ,40 ,27.04 ,85.19 ,70.3 ,4470745.5 ,7708.2 ,13260.8 ,35.1 ,97.9 
2022,경일대학교,사립,경북,1584 ,1300 ,247 ,6852 ,5.7 ,94.3 ,64.8 ,334 ,26.77 ,72.65 ,87.9 ,3858175.8 ,7403.3 ,11878.9 ,23.0 ,73.9 
2022,경주대학교,사립,경북,762 ,197 ,48 ,690 ,1.1 ,30.7 ,66.7 ,124 ,69.46 ,123.08 ,50.4 ,3466661.4 ,7108.4 ,10716.3 ,57.2 ,494.5 
2022,경희대학교,사립,서울,4830 ,6514 ,1361 ,25998 ,16.4 ,99.7 ,68.9 ,4439 ,21.27 ,74.90 ,58.1 ,3026693.4 ,7938.3 ,16471.7 ,17.2 ,76.4 
2022,계명대학교,사립,대구,4620 ,5107 ,888 ,20753 ,6.5 ,99.8 ,55.5 ,1494 ,25.02 ,81.54 ,72.6 ,3804096.1 ,7246.6 ,13368.2 ,13.3 ,90.1 
2022,고려대학교,사립,서울,3889 ,4905 ,1511 ,19597 ,10.8 ,99.8 ,70.1 ,3432 ,20.58 ,95.75 ,53.7 ,3414288.0 ,8279.4 ,29628.7 ,11.9 ,108.4 
2022,고려대학교(세종),사립,세종,1449 ,1496 ,258 ,6406 ,12.2 ,99.9 ,66.6 ,409 ,26.68 ,73.50 ,66.1 ,3414843.1 ,8399.2 ,19221.5 ,36.9 ,73.7 
2022,고신대학교,사립,부산,886 ,779 ,294 ,3534 ,7.8 ,90.4 ,71.8 ,86 ,18.11 ,120.00 ,71.8 ,3961861.8 ,6648.5 ,14100.9 ,39.5 ,102.7 
2022,광신대학교,사립,광주,122 ,122 ,50 ,457 ,1.4 ,100.0 ,56.4 ,21 ,27.72 ,98.04 ,64.8 ,4547230.4 ,5967.8 ,9187.5 ,23.8 ,155.4 
2022,광운대학교,사립,서울,1684 ,1802 ,329 ,8496 ,11.4 ,99.9 ,65.0 ,1079 ,27.70 ,68.91 ,65.8 ,2913565.0 ,7834.2 ,14245.2 ,12.2 ,79.7 
2022,광주가톨릭대학교,사립,전남,40 ,16 ,18 ,60 ,0.3 ,30.0 ,0.0 ,0 ,13.89 ,360.00 ,93.6 ,16233.8 ,0.0 ,24667.4 ,237.2 ,1917.9 
2022,광주과학기술원,특별법법인,광주,200 ,167 ,187 ,727 ,18.5 ,109.0 ,61.4 ,18 ,15.90 ,139.55 ,66.9 ,6001570.3 ,2060.0 ,86311.9 ,105.9 ,97.3 
2022,광주대학교,사립,광주,1481 ,1536 ,244 ,6368 ,4.8 ,99.7 ,66.2 ,291 ,28.99 ,76.49 ,77.2 ,3964296.0 ,6589.4 ,11491.5 ,29.9 ,89.4 
2022,광주여자대학교,사립,광주,920 ,871 ,135 ,3766 ,4.2 ,94.7 ,66.4 ,479 ,28.93 ,72.19 ,71.4 ,4339391.8 ,6307.0 ,10592.4 ,28.7 ,81.4 
2022,국립공주대학교,국립,충남,2815 ,2995 ,571 ,12154 ,9.0 ,99.9 ,59.0 ,248 ,26.33 ,79.24 ,68.6 ,2642428.8 ,3826.0 ,13621.7 ,32.3 ,85.0 
2022,국민대학교,사립,서울,2966 ,3930 ,668 ,14562 ,9.6 ,100.0 ,68.9 ,1832 ,24.24 ,74.39 ,66.3 ,3341292.2 ,7927.8 ,15563.6 ,11.9 ,79.9 
2022,군산대학교,국립,전북,1735 ,1551 ,338 ,6611 ,3.4 ,83.3 ,55.5 ,307 ,25.20 ,90.37 ,71.3 ,2710526.1 ,3934.3 ,17459.5 ,22.6 ,93.1 
2022,극동대학교,사립,충북,871 ,772 ,139 ,2933 ,4.4 ,61.0 ,69.1 ,110 ,28.58 ,93.92 ,67.0 ,3856464.2 ,7511.9 ,10798.0 ,15.8 ,97.9 
2022,금강대학교,사립,충남,110 ,93 ,15 ,210 ,0.6 ,30.0 ,66.7 ,21 ,32.53 ,150.00 ,37.5 ,7714893.2 ,6598.0 ,28699.9 ,292.6 ,474.7 
2022,금오공과대학교,국립,경북,1218 ,1439 ,233 ,5188 ,5.3 ,99.7 ,61.5 ,80 ,26.46 ,77.55 ,71.5 ,2809236.5 ,3767.4 ,17646.0 ,47.7 ,93.2 
2022,김천대학교,사립,경북,665 ,767 ,120 ,2574 ,4.5 ,92.6 ,71.4 ,331 ,25.17 ,91.60 ,70.7 ,4206784.0 ,7055.1 ,10879.4 ,44.4 ,109.7 
2022,나사렛대학교,사립,충남,1211 ,1142 ,176 ,4841 ,4.9 ,98.3 ,64.8 ,114 ,30.01 ,77.19 ,81.6 ,4318989.1 ,7194.2 ,11890.1 ,19.3 ,81.6 
2022,남부대학교,사립,광주,656 ,695 ,118 ,3047 ,5.0 ,92.1 ,71.5 ,462 ,27.50 ,69.82 ,66.9 ,3643164.5 ,6538.5 ,10702.4 ,31.5 ,36.0 
2022,남서울대학교,사립,충남,2187 ,2211 ,327 ,9208 ,8.7 ,100.0 ,67.2 ,840 ,28.28 ,72.19 ,67.2 ,3794645.9 ,7909.6 ,11822.6 ,14.0 ,91.1 
2022,단국대학교,사립,경기,2275 ,3033 ,490 ,11387 ,13.9 ,99.8 ,62.8 ,952 ,29.23 ,69.50 ,57.8 ,3247170.2 ,8024.0 ,14844.1 ,19.4 ,77.0 
2022,단국대학교-제2캠퍼스,사립,충남,2355 ,2827 ,528 ,10628 ,8.4 ,99.7 ,66.3 ,188 ,21.27 ,85.85 ,60.9 ,3366461.4 ,8184.5 ,0.0 ,20.0 ,0.0 
2022,대구가톨릭대학교,사립,경북,2887 ,2810 ,596 ,11311 ,5.7 ,91.1 ,61.0 ,242 ,23.58 ,94.30 ,69.1 ,3804537.0 ,7227.8 ,12931.0 ,23.6 ,103.3 
2022,대구경북과학기술원,특별법법인,대구,220 ,133 ,135 ,782 ,17.5 ,100.9 ,39.3 ,0 ,17.84 ,127.36 ,70.5 ,2762263.3 ,7000.0 ,104834.1 ,115.9 ,163.5 
